upazila_code,type,param,area,percent,len
100447,pktp,P4,1528416,100,40-50 days
100447,krgp,K5,1528416,100,210-220/120-140 days
100447,cwz,T3,1528416,100,50-70 days
100447,hsz,E1,1528416,100,less than 0.5 days
100419,pktp,P4,218792,17.03,40-50 days
100419,pktp,P5,1065774,82.97,50-60 days
100419,krgp,K5,1284565,100,210-220/120-140 days
100419,cwz,T3,1284565,100,50-70 days
100419,hsz,E1,1284565,100,less than 0.5 days
100485,pktp,P4,8401,0.37,40-50 days
100485,pktp,P5,2235458,99.63,50-60 days
100485,krgp,K5,2243859,100,210-220/120-140 days
100485,cwz,T3,2243859,100,50-70 days
100485,hsz,E1,2243859,100,less than 0.5 days
100602,pktp,P4,1544496,100,40-50 days
100602,krgp,K6,1544496,100,220-230/120-145 days
100602,cwz,T3,1544496,100,50-70 days
100602,hsz,E1,1544496,100,less than 0.5 days
100409,pktp,P4,4017829,100,40-50 days
100409,krgp,K5,4017829,100,210-220/120-140 days
100409,cwz,T2,46371,1.15,40-50 days
100409,cwz,T1,11816,0.29,30-40 days
100409,cwz,T3,3959642,98.55,50-70 days
100409,hsz,E1,4017829,100,less than 0.5 days
100603,pktp,P4,1471683,100,40-50 days
100603,krgp,K6,1450601,98.57,220-230/120-145 days
100603,krgp,K7,21082,1.43,230-240/120-145 days
100603,cwz,T3,1471683,100,50-70 days
100603,hsz,E1,1471683,100,less than 0.5 days
100492,pktp,P4,3577825,100,40-50 days
100492,krgp,K5,3577825,100,210-220/120-140 days
100492,cwz,T3,3577825,100,50-70 days
100492,hsz,E1,3577825,100,less than 0.5 days
100428,pktp,P4,4416078,90.7,40-50 days
100428,pktp,P5,452910,9.3,50-60 days
100428,krgp,K5,4868989,100,210-220/120-140 days
100428,cwz,T2,65700,1.35,40-50 days
100428,cwz,T1,26329,0.54,30-40 days
100428,cwz,T3,4776960,98.11,50-70 days
100428,hsz,E1,4868989,100,less than 0.5 days
100651,pktp,P4,2109962,100,40-50 days
100651,krgp,K6,774650,36.71,220-230/120-145 days
100651,krgp,K7,1335312,63.29,230-240/120-145 days
100651,cwz,T3,2109962,100,50-70 days
100651,hsz,E1,2109962,100,less than 0.5 days
100607,pktp,P4,3538098,100,40-50 days
100607,krgp,K5,1664175,47.04,210-220/120-140 days
100607,krgp,K6,1766880,49.94,220-230/120-145 days
100607,krgp,K7,107042,3.03,230-240/120-145 days
100607,cwz,T3,3538098,100,50-70 days
100607,hsz,E1,3538098,100,less than 0.5 days
100610,pktp,P4,1600855,100,40-50 days
100610,krgp,K5,104808,6.55,210-220/120-140 days
