upazila_code,type,category,area,ord
100447,landtype,Medium High Land-1,1189.44,
100447,landtype,Medium High Land-2,8426.32,
100447,texture,Loam,556.44,3
100447,texture,Clay Loam,3534.8,4
100447,texture,Clay,5524.52,5
100447,consistency,Friable,556.44,2
100447,consistency,Firm,9059.32,3
100447,drainage,Poorly Drained,9615.76,4
100447,reaction,Strongly Acidic,8933.38,2
100447,reaction,Neutral,332.56,4
100447,reaction,Moderately Alkaline,349.82,5
100447,moisture,Low,5524.52,1
100447,moisture,Medium,3534.8,2
100447,moisture,High,556.44,3
100447,salinity,Non Saline,234.49,1
100447,salinity,Very Slightly Saline,1000.07,2
100447,salinity,Slightly Saline,5141.12,3
100447,salinity,Moderately Saline,3240.08,4
100447,recession,Early,682.38,2
100447,recession,Normal,4240.15,3
100447,recession,Late,4693.23,4
100447,relief,Level,9615.76,
100419,landtype,Medium High Land-1,1491.06,
100419,landtype,Medium High Land-2,5842.67,
100419,landtype,Medium Low Land,27.69,
100419,texture,Loam,1770.95,3
100419,texture,Clay Loam,4570.44,4
100419,texture,Clay,1020.02,5
100419,consistency,Friable,1770.95,2
100419,consistency,Firm,5590.46,3
100419,drainage,Poorly Drained,7361.41,4
100419,reaction,Strongly Acidic,6755.55,2
100419,reaction,Moderately Alkaline,605.86,5
100419,moisture,Low,1020.02,1
100419,moisture,Medium,4570.44,2
100419,moisture,High,1770.95,3
100419,salinity,Non Saline,1525.91,1
100419,salinity,Very Slightly Saline,2384.92,2
100419,salinity,Slightly Saline,3450.58,3
100419,recession,Early,2849.48,2
100419,recession,Normal,3818.82,3
100419,recession,Late,693.1,4
100419,relief,Level,7361.41,
100485,landtype,Medium High Land-1,3709.88,
100485,landtype,Medium High Land-2,9951.43,
100485,texture,Loam,1877.51,3
100485,texture,Clay Loam,6679.61,4
100485,texture,Clay,5104.19,5
100485,consistency,Friable,1877.51,2
100485,consistency,Firm,11783.8,3
100485,drainage,Poorly Drained,13661.31,4
100485,reaction,Strongly Acidic,13106.34,2
100485,reaction,Neutral,554.97,4
100485,moisture,Low,5104.19,1
100485,moisture,Medium,6679.61,2
100485,moisture,High,1877.51,3
100485,salinity,Very Slightly Saline,1109.63,2
100485,salinity,Slightly Saline,5579.36,3
100485,salinity,Moderately Saline,6972.32,4
100485,recession,Early,2987.14,2
100485,recession,Normal,6417.02,3
100485,recession,Late,4257.16,4
100485,relief,Level,13661.31,
100602,landtype,High Land,308.19,
100602,landtype,Medium High Land-1,341.72,
100602,landtype,Medium High Land-2,3395.43,
100602,landtype,Medium Low Land,6919.22,
100602,landtype,Low land,2420.39,
100602,texture,Loam,5357.51,3
100602,texture,Clay Loam,3377.96,4
100602,texture,Clay,4649.5,5
100602,consistency,Friable,6299.91,2
100602,consistency,Firm,7085.06,3
100602,drainage,Imperfectly Drained,757.63,3
100602,drainage,Poorly Drained,12627.33,4
100602,reaction,Strongly Acidic,454.39,2
100602,reaction,Moderately Acidic,10498.05,3
100602,reaction,Neutral,1449.47,4
100602,reaction,Moderately Alkaline,983.05,5
100602,moisture,Low,6657.1,1
100602,moisture,Medium,5027.83,2
100602,moisture,High,1700.03,3
100602,salinity,Non Saline,5065.6,1
100602,salinity,Very Slightly Saline,7101.51,2
100602,salinity,Slightly Saline,853.65,3
100602,salinity,Moderately Saline,273.51,4
100602,salinity,Strongly Saline,90.7,5
100602,recession,Very Early,308.19,1
100602,recession,Early,1729.6,2
100602,recession,Normal,3205.46,3
100602,recession,Late,5630.62,4
100602,recession,Very Late,2511.09,5
100602,relief,Level,12988.9,
100602,relief,Slightly Undulating,396.06,
100409,landtype,Medium High Land-1,6715.15,
100409,landtype,Medium High Land-2,18713.99,
100409,texture,Loam,5391.76,3
100409,texture,Clay Loam,11912.51,4
100409,texture,Clay,8124.87,5
100409,consistency,Friable,5391.76,2
100409,consistency,Firm,20037.37,3
100409,drainage,Poorly Drained,25429.14,4
100409,reaction,Strongly Acidic,6781.5,2
100409,reaction,Moderately Acidic,17128.42,3
100409,reaction,Neutral,583.26,4
100409,reaction,Moderately Alkaline,935.96,5
100409,moisture,Low,8124.87,1
100409,moisture,Medium,11912.51,2
100409,moisture,High,5391.76,3
100409,salinity,Slightly Saline,24405.45,3
100409,salinity,Moderately Saline,1023.69,4
100409,recession,Early,16280.58,2
100409,recession,Normal,9148.56,3
100409,relief,Level,25429.14,
100603,landtype,High Land,1603.27,
100603,landtype,Medium High Land-1,3908.88,
100603,landtype,Medium High Land-2,6239.62,
100603,landtype,Medium Low Land,370.37,
100603,texture,Loam,1498.84,3
100603,texture,Clay Loam,7676.46,4
100603,texture,Clay,2946.83,5
100603,consistency,Friable,1968.37,2
100603,consistency,Firm,10153.76,3
100603,drainage,Imperfectly Drained,1603.27,3
100603,drainage,Poorly Drained,10518.86,4
100603,reaction,Moderately Acidic,6364.98,3
100603,reaction,Neutral,2146.86,4
100603,reaction,Moderately Alkaline,3610.29,5
100603,moisture,Low,2697.6,1
100603,moisture,Medium,3849.39,2
100603,moisture,High,5575.15,3
100603,salinity,Non Saline,11990.28,1
100603,salinity,Very Slightly Saline,131.86,2
100603,recession,Very Early,1603.27,1
100603,recession,Early,4712.15,2
100603,recession,Normal,5685.58,3
100603,recession,Late,121.14,4
100603,relief,Level,6761.37,
100603,relief,Slightly Undulating,5360.77,
100492,landtype,Medium High Land-1,4282.09,
100492,landtype,Medium High Land-2,10927.92,
100492,texture,Loam,1863.12,3
100492,texture,Clay Loam,6246.87,4
100492,texture,Clay,7100.01,5
100492,consistency,Friable,1863.12,2
100492,consistency,Firm,13346.88,3
100492,drainage,Poorly Drained,15210,4
100492,reaction,Strongly Acidic,14572.17,2
100492,reaction,Moderately Acidic,637.83,3
100492,moisture,Low,7100.01,1
100492,moisture,Medium,6246.87,2
100492,moisture,High,1863.12,3
100492,salinity,Non Saline,637.83,1
100492,salinity,Slightly Saline,14572.17,3
100492,recession,Early,6950.94,2
100492,recession,Normal,8259.06,3
100492,relief,Level,15210,
100428,landtype,Medium High Land-1,7367.36,
100428,landtype,Medium High Land-2,17529.5,
100428,texture,Loam,2264.23,3
100428,texture,Clay Loam,10671.56,4
100428,texture,Clay,11961.07,5
100428,consistency,Friable,2264.23,2
100428,consistency,Firm,22632.63,3
100428,drainage,Poorly Drained,24896.86,4
100428,reaction,Strongly Acidic,22632.63,2
100428,reaction,Moderately Acidic,874.5,3
100428,reaction,Neutral,1389.73,4
100428,moisture,Low,11961.07,1
100428,moisture,Medium,10671.56,2
100428,moisture,High,2264.23,3
100428,salinity,Non Saline,1389.73,1
100428,salinity,Very Slightly Saline,434.62,2
100428,salinity,Slightly Saline,23072.52,3
100428,recession,Early,4574.46,2
100428,recession,Normal,20322.4,3
100428,relief,Level,24896.86,
100651,landtype,High Land,787.94,
100651,landtype,Medium High Land-1,6279.87,
100651,landtype,Medium High Land-2,11972.36,
100651,landtype,Medium Low Land,1491.1,
100651,landtype,Low land,350,
100651,texture,Loam,6861.21,3
100651,texture,Clay Loam,11105.3,4
100651,texture,Clay,2914.76,5
100651,consistency,Friable,10611.57,2
100651,consistency,Firm,10269.7,3
100651,drainage,Imperfectly Drained,787.94,3
100651,drainage,Poorly Drained,20093.34,4
100651,reaction,Moderately Acidic,10745.34,3
100651,reaction,Neutral,2762.07,4
100651,reaction,Moderately Alkaline,7373.86,5
100651,moisture,Low,2914.76,1
100651,moisture,Medium,9891,2
100651,moisture,High,8075.51,3
100651,salinity,Non Saline,20881.27,1
100651,recession,Very Early,787.94,1
100651,recession,Early,7287.57,2
100651,recession,Normal,10205.24,3
100651,recession,Late,2600.53,4
100651,relief,Level,13485.07,
100651,relief,Slightly Undulating,7396.21,
100607,landtype,High Land,42.45,
100607,landtype,Medium High Land-1,16033.33,
100607,landtype,Medium High Land-2,16082.25,
100607,texture,Loam,2008.88,3
100607,texture,Clay Loam,9715.24,4
100607,texture,Clay,20433.92,5
100607,consistency,Friable,2008.88,2
100607,consistency,Firm,30149.16,3
100607,drainage,Imperfectly Drained,42.45,3
100607,drainage,Poorly Drained,32115.58,4
100607,reaction,Neutral,20727.79,4
100607,reaction,Moderately Alkaline,11430.24,5
100607,moisture,Low,19111.44,1
100607,moisture,Medium,9141.02,2
100607,moisture,High,3905.57,3
100607,salinity,Non Saline,31502.37,1
100607,salinity,Very Slightly Saline,655.66,2
100607,recession,Very Early,42.45,1
100607,recession,Early,2336.05,2
100607,recession,Normal,17682.12,3
100607,recession,Late,12097.41,4
100607,relief,Level,32158.03,
100610,landtype,Medium High Land-1,1003.12,
100610,landtype,Medium High Land-2,5294.11,
100610,landtype,Medium Low Land,776.62,
100610,texture,Loam,1214.35,3
100610,texture,Clay Loam,5247.41,4
100610,texture,Clay,612.1,5
100610,consistency,Friable,1057.45,2
100610,consistency,Firm,6016.4,3
100610,drainage,Poorly Drained,6039.03,4
100610,drainage,Very Poorly Drained,1034.82,5
100610,reaction,Neutral,5834.62,4
100610,reaction,Moderately Alkaline,1239.23,5
100610,moisture,Low,524.74,1
100610,moisture,Medium,3980.61,2
100610,moisture,High,2324.25,3
100610,moisture,Very High,244.25,4
100610,salinity,Non Saline,7073.85,1
100610,recession,Early,2062.05,2
100610,recession,Normal,608.37,3
100610,recession,Late,3674.32,4
100610,recession,Very Late,729.1,5
100610,relief,Level,7073.85,
100662,landtype,High Land,160.46,
100662,landtype,Medium High Land-1,1874.41,
100662,landtype,Medium High Land-2,7693.04,
100662,landtype,Medium Low Land,6785.3,
100662,texture,Loam,11860.27,3
100662,texture,Clay Loam,2822.71,4
100662,texture,Clay,1830.23,5
100662,consistency,Friable,11901.45,2
100662,consistency,Firm,4611.76,3
100662,drainage,Imperfectly Drained,160.46,3
100662,drainage,Poorly Drained,16352.75,4
100662,reaction,Neutral,6690.69,4
100662,reaction,Moderately Alkaline,9822.52,5
100662,moisture,Low,1830.23,1
100662,moisture,Medium,12026.49,2
100662,moisture,High,2656.49,3
100662,salinity,Non Saline,16513.21,1
