upazila_code,map_unit,unit_title_en,unit_title_bn,area,percent
100447,1,Agri Land,,448,2.67
100447,2,Agri Land,,54,0.32
100447,3,Agri Land,,3465,20.62
100447,4,Agri Land,,3770,22.44
100447,5,Agri Land,,1699,10.11
100447,6,Agri Land,,180,1.07
100447,81,Settlement,,5349,31.84
100447,83,River,,1735,10.33
100447,84,,,101,0.6
100602,1,Agri Land,,396,2.51
100602,2,Agri Land,,1013,6.42
100602,3,Agri Land,,2995,19
100602,4,Agri Land,,2723,17.27
100602,5,Agri Land,,364,2.31
100602,6,Agri Land,,3827,24.28
100602,7,Agri Land,,1613,10.23
100602,8,Agri Land,,454,2.88
100602,81,Settlement,,2373,15.06
100602,113,,,4,0.03
100419,1,Agri Land,,2058,20.62
100419,2,Agri Land,,213,2.14
100419,3,Agri Land,,3579,35.87
100419,4,Agri Land,,1313,13.15
100419,5,Agri Land,,198,1.99
100419,81,Settlement,,1519,15.22
100419,83,River,,1099,11.01
100603,1,Agri Land,,1718,10.68
100603,2,Agri Land,,838,5.21
100603,3,Agri Land,,2804,17.43
100603,4,Agri Land,,506,3.15
100603,5,Agri Land,,2610,16.22
100603,6,Agri Land,,135,0.84
100603,7,Agri Land,,249,1.55
100603,8,Agri Land,,338,2.1
100603,9,Agri Land,,2104,13.08
100603,10,Agri Land,,819,5.09
100603,81,Settlement,,2678,16.65
100603,83,River,,1264,7.86
100603,113,,,23,0.14
100485,1,Agri Land,,1593,5.22
100485,2,Agri Land,,4402,14.42
100485,3,Agri Land,,7112,23.3
100485,4,Agri Land,,555,1.82
100485,81,Settlement,,6339,20.77
100485,83,River,,8559,28.04
100485,84,,,699,2.29
100485,85,Forest,,1262,4.14
100409,1,Agri Land,,11759,38.01
100409,2,Agri Land,,1104,3.57
100409,3,Agri Land,,4265,13.79
100409,4,Agri Land,,6782,21.92
100409,5,Agri Land,,1519,4.91
100409,81,Settlement,,3650,11.8
100409,83,River,,1862,6.02
100492,1,Agri Land,,6313,22.57
100492,2,Agri Land,,6533,23.36
100492,3,Agri Land,,1726,6.17
100492,4,Agri Land,,638,2.28
100492,79,,,169,0.6
100492,81,Settlement,,3457,12.36
100492,83,River,,6104,21.83
100492,84,,,144,0.51
100492,85,Forest,,2882,10.3
100428,1,Agri Land,,2745,7.29
100428,2,Agri Land,,11283,29.98
100428,3,Agri Land,,9479,25.19
100428,4,Agri Land,,1390,3.69
100428,81,Settlement,,6708,17.83
100428,83,River,,5631,14.96
100428,84,,,166,0.44
100428,85,Forest,,232,0.62
100610,1,Agri Land,,756,5.63
100610,2,Agri Land,,125,0.93
100610,3,Agri Land,,976,7.27
100610,4,Agri Land,,264,1.96
100610,5,Agri Land,,3102,23.11
100610,6,Agri Land,,292,2.17
100610,7,Agri Land,,1559,11.61
100610,81,Settlement,,4848,36.11
100610,83,River,,1397,10.4
100610,86,,,56,0.42
100610,113,,,33,0.25
100610,119,,,16,0.12
100651,1,Agri Land,,3049,10.1
100651,2,Agri Land,,803,2.66
100651,3,Agri Land,,1044,3.46
100651,4,Agri Land,,3540,11.73
100651,5,Agri Land,,1523,5.05
100651,6,Agri Land,,3331,11.04
100651,7,Agri Land,,1747,5.79
100651,8,Agri Land,,1797,5.95
100651,9,Agri Land,,493,1.63
100651,10,Agri Land,,2616,8.67
100651,11,,,938,3.11
100651,81,Settlement,,5310,17.59
100651,83,River,,3964,13.13
100651,113,,,30,0.1
100662,1,Agri Land,,1768,4.42
100662,2,Agri Land,,183,0.46
100662,3,Agri Land,,796,1.99
100662,4,Agri Land,,2530,6.32
100662,5,Agri Land,,811,2.03
100662,6,Agri Land,,510,1.27
100662,7,Agri Land,,3944,9.85
100662,8,Agri Land,,5301,13.24
100662,9,Agri Land,,383,0.96
100662,10,Agri Land,,287,0.72
100662,81,Settlement,,10017,25.03
100662,83,River,,13033,32.56
100662,84,,,400,1
100662,86,,,52,0.13
100662,113,,,12,0.03
100632,1,Agri Land,,320,2.18
100632,2,Agri Land,,679,4.63
100632,3,Agri Land,,548,3.74
100632,4,Agri Land,,3238,22.07
100632,5,Agri Land,,1961,13.37
100632,6,Agri Land,,993,6.76
100632,7,Agri Land,,792,5.4
100632,80,,,57,0.39
100632,81,Settlement,,5519,37.62
100632,83,River,,42,0.29
100632,86,,,2,0.01
100632,112,Waterbody,,2,0.01
100632,113,,,517,3.52
100632,118,,,3,0.02
100607,1,Agri Land,,1318,3.25
100607,2,Agri Land,,829,2.05
100607,3,Agri Land,,1164,2.87
100607,4,Agri Land,,521,1.29
100607,5,Agri Land,,13470,33.25
100607,6,Agri Land,,2759,6.81
100607,7,Agri Land,,11236,27.73
100607,8,Agri Land,,862,2.13
100607,81,Settlement,,3881,9.58
100607,83,River,,4342,10.72
100607,84,,,121,0.3
100607,113,,,14,0.04
100636,1,Agri Land,,771,2.01
100636,2,Agri Land,,123,0.32
100636,3,Agri Land,,474,1.24
100636,4,Agri Land,,318,0.83
100636,5,Agri Land,,1018,2.66
100636,6,Agri Land,,8031,20.97
100636,7,Agri Land,,7036,18.37
100636,8,Agri Land,,16,0.04
100636,81,Settlement,,4404,11.5
100636,83,River,,15663,40.9
100636,84,,,295,0.77
100636,86,,,143,0.37
100669,1,Agri Land,,493,2.14
100669,2,Agri Land,,5473,23.77
100669,3,Agri Land,,1110,4.82
100669,4,Agri Land,,1144,4.97
100669,5,Agri Land,,3592,15.6
100669,6,Agri Land,,3594,15.61
100669,81,Settlement,,4129,17.93
100669,83,River,,3490,15.16
100669,113,,,2,0.01
100694,1,Agri Land,,1929,7.88
100694,2,Agri Land,,617,2.52
100694,3,Agri Land,,953,3.89
100694,4,Agri Land,,5155,21.05
100694,5,Agri Land,,571,2.33
100694,6,Agri Land,,1552,6.34
100694,7,Agri Land,,1178,4.81
100694,8,Agri Land,,795,3.25
100694,9,Agri Land,,5054,20.64
100694,10,Agri Land,,848,3.46
100694,81,Settlement,,5239,21.4
100694,83,River,,581,2.37
100694,113,,,14,0.06
100921,1,Agri Land,,367,1.28
100921,2,Agri Land,,121,0.42
100921,3,Agri Land,,1534,5.36
100921,4,Agri Land,,5200,18.16
100921,5,Agri Land,,819,2.86
100921,6,Agri Land,,155,0.54
100921,7,Agri Land,,1112,3.88
100921,8,Agri Land,,1677,5.86
100921,81,Settlement,,8655,30.23
100921,83,River,,6735,23.52
100921,84,,,1814,6.34
100921,86,,,68,0.24
100921,113,,,366,1.28
100921,119,,,9,0.03
100918,1,Agri Land,,2082,4.72
100918,2,Agri Land,,1385,3.14
100918,3,Agri Land,,254,0.58
100918,4,Agri Land,,59,0.13
100918,5,Agri Land,,15,0.03
100918,6,Agri Land,,1296,2.94
100918,7,Agri Land,,3044,6.91
100918,8,Agri Land,,1069,2.42
100918,9,Agri Land,,1786,4.05
100918,10,Agri Land,,964,2.19
100918,11,,,2739,6.21
100918,81,Settlement,,12871,29.2
100918,83,River,,13198,29.94
100918,84,,,3255,7.38
100918,112,Waterbody,,41,0.09
100918,113,,,24,0.05
100965,1,Agri Land,,2644,5.19
100965,2,Agri Land,,126,0.25
100965,3,Agri Land,,611,1.2
100965,4,Agri Land,,1405,2.76
100965,5,Agri Land,,1615,3.17
100965,6,Agri Land,,4742,9.31
100965,81,Settlement,,2179,4.28
100965,83,River,,33586,65.95
100965,85,Forest,,3920,7.7
100965,86,,,2,0
100965,112,Waterbody,,1,0
100965,113,,,69,0.13
100965,119,,,24,0.05
100991,1,Agri Land,,426,1.21
100991,2,Agri Land,,80,0.23
100991,3,Agri Land,,2328,6.6
100991,4,Agri Land,,343,0.97
100991,5,Agri Land,,213,0.61
100991,6,Agri Land,,2293,6.5
100991,7,Agri Land,,215,0.61
100991,8,Agri Land,,9091,25.78
100991,81,Settlement,,1634,4.63
100991,83,River,,17753,50.35
100991,84,,,480,1.36
100991,85,Forest,,403,1.14
100925,1,Agri Land,,9720,7.04
100925,2,Agri Land,,4038,2.93
100925,3,Agri Land,,777,0.56
100925,4,Agri Land,,12960,9.39
100925,5,Agri Land,,1988,1.44
100925,6,Agri Land,,1574,1.14
100925,7,Agri Land,,5230,3.79
100925,8,Agri Land,,3212,2.33
100925,81,Settlement,,11909,8.63
100925,83,River,,75513,54.7
100925,84,,,3670,2.66
100925,85,Forest,,7416,5.37
100925,113,,,38,0.03
100929,1,Agri Land,,1911,6.23
100929,2,Agri Land,,837,2.73
100929,3,Agri Land,,673,2.19
100929,4,Agri Land,,123,0.4
100929,5,Agri Land,,381,1.24
100929,6,Agri Land,,3944,12.87
100929,81,Settlement,,4083,13.32
100929,83,River,,13236,43.18
100929,84,,,5444,17.76
100929,86,,,22,0.07
100954,1,Agri Land,,2812,7.37
100954,2,Agri Land,,431,1.13
100954,3,Agri Land,,1875,4.91
100954,4,Agri Land,,6688,17.52
100954,5,Agri Land,,396,1.04
100954,6,Agri Land,,5030,13.18
100954,7,Agri Land,,1493,3.91
100954,81,Settlement,,7629,19.99
100954,83,River,,11283,29.56
100954,84,,,244,0.64
100954,85,Forest,,236,0.62
100954,113,,,48,0.12
104240,1,Agri Land,,41,0.2
104240,2,Agri Land,,142,0.7
104240,3,Agri Land,,365,1.79
104240,4,Agri Land,,1301,6.38
104240,5,Agri Land,,373,1.83
104240,6,Agri Land,,4054,19.87
104240,7,Agri Land,,4495,22.04
104240,8,Agri Land,,141,0.69
104240,9,Agri Land,,91,0.45
