division_code,division_name,district_code,district_name,upazila_code,upazila_name,upazila_name_bn
10,Barishal,1004,Barguna,100409,Amtali,আমতলী
10,Barishal,1004,Barguna,100419,Bamna,বামনা
10,Barishal,1004,Barguna,100428,Barguna Sadar,বরগুনা সদর
10,Barishal,1004,Barguna,100447,Betagi,বেতাগী
10,Barishal,1004,Barguna,100485,Patharghata,পাথরঘাটা
10,Barishal,1004,Barguna,100492,Taltali,তালতলী
10,Barishal,1006,Barishal,100602,Agailjhara,আগৈলঝাড়া
10,Barishal,1006,Barishal,100603,Babuganj,বাবুগঞ্জ
10,Barishal,1006,Barishal,100607,Bakerganj,বাকেরগঞ্জ
10,Barishal,1006,Barishal,100610,Banaripara,বানারীপাড়া
10,Barishal,1006,Barishal,100651,Barishal Sadar (Kotwali),বরিশাল সদর
10,Barishal,1006,Barishal,100632,Gaurnadi,গৌরনদী
10,Barishal,1006,Barishal,100636,Hizla,হিজলা
10,Barishal,1006,Barishal,100662,Mehendiganj,মেহেন্দিগঞ্জ
10,Barishal,1006,Barishal,100669,Muladi,মুলাদী
10,Barishal,1006,Barishal,100694,Wazirpur,উজিরপুর
10,Barishal,1009,Bhola,100918,Bhola Sadar,ভোলা সদর
10,Barishal,1009,Bhola,100921,Borhanuddin,বোরহানউদ্দিন
10,Barishal,1009,Bhola,100925,Charfasson,চরফ্যাশন
10,Barishal,1009,Bhola,100929,Daulatkhan,দৌলতখান
10,Barishal,1009,Bhola,100954,Lalmohan,লালমোহন
10,Barishal,1009,Bhola,100965,Manpura,মনপুরা
10,Barishal,1009,Bhola,100991,Tazumuddin,তজুমদ্দিন
10,Barishal,1042,Jhalokathi,104240,Jhalokathi Sadar,ঝালকাঠি সদর
10,Barishal,1042,Jhalokathi,104243,Kanthalia,কাঠালিয়া
10,Barishal,1042,Jhalokathi,104273,Nalchhity,নলছিটি
10,Barishal,1042,Jhalokathi,104284,Rajapur,রাজাপুর
10,Barishal,1078,Patuakhali,107838,Bauphal,বাউফল
10,Barishal,1078,Patuakhali,107852,Dashmina,দশমিনা
10,Barishal,1078,Patuakhali,107855,Dumki,দুমকী
10,Barishal,1078,Patuakhali,107857,Galachipa,গলাচিপা
10,Barishal,1078,Patuakhali,107866,Kalapara,কলাপাড়া
10,Barishal,1078,Patuakhali,107876,Mirzaganj,মির্জাগঞ্জ
10,Barishal,1078,Patuakhali,107895,Patuakhali Sadar,পটুয়াখালী সদর
10,Barishal,1078,Patuakhali,107897,Rangabali,রাঙ্গাবালী
10,Barishal,1079,Pirojpur,107914,Bhandaria,ভান্ডারিয়া
10,Barishal,1079,Pirojpur,107990,Indurkani,ইন্দুরকানী
10,Barishal,1079,Pirojpur,107947,Kawkhali,কাউখালী
10,Barishal,1079,Pirojpur,107958,Mathbaria,মঠবাড়ীয়া
10,Barishal,1079,Pirojpur,107976,Nazirpur,নাজিরপুর
10,Barishal,1079,Pirojpur,107987,Nesarabad (Swarupkati),নেছারাবাদ (স্বরুপকাঠী)
10,Barishal,1079,Pirojpur,107980,Pirojpur Sadar,পিরোজপুর সদর
20,Chattogram,2003,Bandarban,200304,Alikadam,আলীকদম
20,Chattogram,2003,Bandarban,200314,Bandarban Sadar,বান্দরবান সদর
20,Chattogram,2003,Bandarban,200351,Lama,লামা
20,Chattogram,2003,Bandarban,200373,Naikhongchhari,নাইক্ষ্যংছড়ি
20,Chattogram,2003,Bandarban,200389,Rowangchhari,রোয়াংছড়ি
20,Chattogram,2003,Bandarban,200391,Ruma,রুমা
20,Chattogram,2003,Bandarban,200395,Thanchi,থানচি
20,Chattogram,2012,Brahamanbaria,201202,Akhaura,আখাউড়া
20,Chattogram,2012,Brahamanbaria,201233,Ashuganj,আশুগঞ্জ
20,Chattogram,2012,Brahamanbaria,201204,Banchharampur,বাঞ্ছারামপুর
20,Chattogram,2012,Brahamanbaria,201207,Bijoynagar,বিজয়নগর
20,Chattogram,2012,Brahamanbaria,201213,Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর
20,Chattogram,2012,Brahamanbaria,201263,Kasba,কসবা
20,Chattogram,2012,Brahamanbaria,201285,Nabinagar,নবীনগর
20,Chattogram,2012,Brahamanbaria,201290,Nasirnagar,নাসিরনগর
20,Chattogram,2012,Brahamanbaria,201294,Sarail,সরাইল
20,Chattogram,2013,Chandpur,201322,Chandpur Sadar,চাঁদপুর সদর
20,Chattogram,2013,Chandpur,201345,Faridganj,ফরিদগঞ্জ
20,Chattogram,2013,Chandpur,201347,Haimchar,হাইমচর
20,Chattogram,2013,Chandpur,201349,Hajiganj,হাজীগঞ্জ
20,Chattogram,2013,Chandpur,201358,Kachua,কচুয়া
20,Chattogram,2013,Chandpur,201376,Matlab Dakshin,মতলব দক্ষিণ
20,Chattogram,2013,Chandpur,201379,Matlab Uttar,মতলব উত্তর
20,Chattogram,2013,Chandpur,201395,Shahrasti,শাহরাস্তি
20,Chattogram,2015,Chattogram,201504,Anowara,আনোয়ারা
20,Chattogram,2015,Chattogram,201508,Banshkhali,বাঁশখালী
20,Chattogram,2015,Chattogram,201512,Boalkhali,বোয়ালখালী
20,Chattogram,2015,Chattogram,201518,Chandanaish,চন্দনাইশ
20,Chattogram,2015,Chattogram,201533,Fatikchhari,ফটিকছড়ি
20,Chattogram,2015,Chattogram,201537,Hathazari,হাটহাজারী
20,Chattogram,2015,Chattogram,201539,Karnafuli,কর্ণফুলী
